Amostrador,Energia,Percentual de chainbreaks
SimulatedAnnealing,2422500.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,50787500.0,
SimulatedAnnealing,244537500.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,2035000.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,244172500.0,
SimulatedAnnealing,812500.0,
SimulatedAnnealing,487500.0,
SimulatedAnnealing,146533597000.0,
SimulatedAnnealing,2050000.0,
SimulatedAnnealing,2362500.0,
SimulatedAnnealing,51172500.0,
SimulatedAnnealing,2359400.0,
SimulatedAnnealing,2735000.0,
SimulatedAnnealing,425000.0,
SimulatedAnnealing,875000.0,
SimulatedAnnealing,244234500.0,
SimulatedAnnealing,1187500.0,
SimulatedAnnealing,50782000.0,
SimulatedAnnealing,160000.0,
SimulatedAnnealing,244187500.0,
SimulatedAnnealing,50875000.0,
SimulatedAnnealing,875000.0,
SimulatedAnnealing,48912500.0,
SimulatedAnnealing,2362500.0,
SimulatedAnnealing,10547500.0,
SimulatedAnnealing,1171880.0,
SimulatedAnnealing,49235000.0,
SimulatedAnnealing,244609500.0,
SimulatedAnnealing,471880.0,
SimulatedAnnealing,244610000.0,
SimulatedAnnealing,97000.0,
SimulatedAnnealing,50800000.0,
SimulatedAnnealing,4300000.0,
SimulatedAnnealing,800000.0,
SimulatedAnnealing,146484459380.0,
SimulatedAnnealing,875000.0,
SimulatedAnnealing,500000.0,
SimulatedAnnealing,244221900.0,
SimulatedAnnealing,421875.0,
SimulatedAnnealing,244550000.0,
SimulatedAnnealing,11812500.0,
SimulatedAnnealing,146535234375.0,
SimulatedAnnealing,49237500.0,
SimulatedAnnealing,244547500.0,
SimulatedAnnealing,50812500.0,
SimulatedAnnealing,800000.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,50862500.0,
SimulatedAnnealing,487500.0,
SimulatedAnnealing,2037500.0,
SimulatedAnnealing,10162500.0,
SimulatedAnnealing,812500.0,
SimulatedAnnealing,2359500.0,
SimulatedAnnealing,2737500.0,
SimulatedAnnealing,1987500.0,
SimulatedAnnealing,2737500.0,
SimulatedAnnealing,2734400.0,
SimulatedAnnealing,244222500.0,
SimulatedAnnealing,244300000.0,
SimulatedAnnealing,244609400.0,
SimulatedAnnealing,50812500.0,
SimulatedAnnealing,12112500.0,
SimulatedAnnealing,244612500.0,
SimulatedAnnealing,244625000.0,
SimulatedAnnealing,472000.0,
SimulatedAnnealing,10234380.0,
SimulatedAnnealing,244162500.0,
SimulatedAnnealing,12110000.0,
SimulatedAnnealing,2734400.0,
SimulatedAnnealing,500000.0,
SimulatedAnnealing,244160000.0,
SimulatedAnnealing,2047000.0,
SimulatedAnnealing,244175000.0,
SimulatedAnnealing,2750000.0,
SimulatedAnnealing,48837500.0,
SimulatedAnnealing,2421880.0,
SimulatedAnnealing,11725000.0,
SimulatedAnnealing,4312500.0,
SimulatedAnnealing,244312500.0,
SimulatedAnnealing,244610000.0,
SimulatedAnnealing,471900.0,
SimulatedAnnealing,171900.0,
SimulatedAnnealing,797000.0,
SimulatedAnnealing,9767000.0,
SimulatedAnnealing,2360000.0,
SimulatedAnnealing,812500.0,
SimulatedAnnealing,244547500.0,
SimulatedAnnealing,146728925000.0,
SimulatedAnnealing,2750000.0,
SimulatedAnnealing,812500.0,
SimulatedAnnealing,50812500.0,
SimulatedAnnealing,2047500.0,
SimulatedAnnealing,2737500.0,
SimulatedAnnealing,244187500.0,
SimulatedAnnealing,244612500.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,51172000.0,
SimulatedAnnealing,2422000.0,
SimulatedAnnealing,244562500.0,
SimulatedAnnealing,244547500.0,
SimulatedAnnealing,2112500.0,
SimulatedAnnealing,50862500.0,
SimulatedAnnealing,2375000.0,
SimulatedAnnealing,244609400.0,
SimulatedAnnealing,244550000.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,47000.0,
SimulatedAnnealing,1960000.0,
SimulatedAnnealing,2734400.0,
SimulatedAnnealing,244612500.0,
SimulatedAnnealing,244547000.0,
SimulatedAnnealing,48829500.0,
SimulatedAnnealing,244609380.0,
SimulatedAnnealing,3907000.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,244237500.0,
SimulatedAnnealing,244297500.0,
SimulatedAnnealing,2425000.0,
SimulatedAnnealing,2359500.0,
SimulatedAnnealing,875000.0,
SimulatedAnnealing,12109400.0,
SimulatedAnnealing,1959500.0,
SimulatedAnnealing,796880.0,
SimulatedAnnealing,12109500.0,
SimulatedAnnealing,50860000.0,
SimulatedAnnealing,244612500.0,
SimulatedAnnealing,37500.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,50781500.0,
SimulatedAnnealing,1175000.0,
SimulatedAnnealing,146728937500.0,
SimulatedAnnealing,2425000.0,
SimulatedAnnealing,409500.0,
SimulatedAnnealing,10547500.0,
SimulatedAnnealing,2375000.0,
SimulatedAnnealing,244625000.0,
SimulatedAnnealing,784380.0,
SimulatedAnnealing,409380.0,
SimulatedAnnealing,244172500.0,
SimulatedAnnealing,2750000.0,
SimulatedAnnealing,244159500.0,
SimulatedAnnealing,10550000.0,
SimulatedAnnealing,50785000.0,
SimulatedAnnealing,244612500.0,
SimulatedAnnealing,3922500.0,
SimulatedAnnealing,244625000.0,
SimulatedAnnealing,51172500.0,
SimulatedAnnealing,244172500.0,
SimulatedAnnealing,244547000.0,
SimulatedAnnealing,50800000.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,50862500.0,
SimulatedAnnealing,2737500.0,
SimulatedAnnealing,2375000.0,
SimulatedAnnealing,2425000.0,
SimulatedAnnealing,797500.0,
SimulatedAnnealing,1984500.0,
SimulatedAnnealing,48850000.0,
SimulatedAnnealing,2737500.0,
SimulatedAnnealing,2050000.0,
SimulatedAnnealing,146486425000.0,
SimulatedAnnealing,50787500.0,
SimulatedAnnealing,3922000.0,
SimulatedAnnealing,2425000.0,
SimulatedAnnealing,422500.0,
SimulatedAnnealing,244234400.0,
SimulatedAnnealing,2375000.0,
SimulatedAnnealing,10250000.0,
SimulatedAnnealing,406880.0,
SimulatedAnnealing,10547500.0,
SimulatedAnnealing,244235000.0,
SimulatedAnnealing,146728984500.0,
SimulatedAnnealing,421900.0,
SimulatedAnnealing,244162500.0,
SimulatedAnnealing,12112500.0,
SimulatedAnnealing,244297500.0,
SimulatedAnnealing,2425000.0,
SimulatedAnnealing,1984400.0,
SimulatedAnnealing,797000.0,
SimulatedAnnealing,50875000.0,
SimulatedAnnealing,244562500.0,
SimulatedAnnealing,487500.0,
SimulatedAnnealing,2047500.0,
SimulatedAnnealing,10237500.0,
SimulatedAnnealing,2375000.0,
SimulatedAnnealing,812500.0,
SimulatedAnnealing,50860000.0,
SimulatedAnnealing,48922500.0,
SimulatedAnnealing,50859400.0,
SimulatedAnnealing,437500.0,
SimulatedAnnealing,2362500.0,
SimulatedAnnealing,437500.0,
SimulatedAnnealing,51175000.0,
SimulatedAnnealing,485000.0,
SimulatedAnnealing,187500.0,
SimulatedAnnealing,2362500.0,
SimulatedAnnealing,10235000.0,
SimulatedAnnealing,500000.0,
SimulatedAnnealing,244562500.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,244297000.0,
SimulatedAnnealing,50859500.0,
SimulatedAnnealing,800000.0,
SimulatedAnnealing,4312500.0,
SimulatedAnnealing,50812500.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,146728687500.0,
SimulatedAnnealing,250000.0,
SimulatedAnnealing,2750000.0,
SimulatedAnnealing,10187500.0,
SimulatedAnnealing,3925000.0,
SimulatedAnnealing,125000.0,
SimulatedAnnealing,785000.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,51172500.0,
SimulatedAnnealing,2375000.0,
SimulatedAnnealing,2062500.0,
SimulatedAnnealing,51187500.0,
SimulatedAnnealing,51172000.0,
SimulatedAnnealing,550000.0,
SimulatedAnnealing,797500.0,
SimulatedAnnealing,244187500.0,
SimulatedAnnealing,50860000.0,
SimulatedAnnealing,244175000.0,
SimulatedAnnealing,10547500.0,
SimulatedAnnealing,437500.0,
SimulatedAnnealing,48847500.0,
SimulatedAnnealing,3925000.0,
SimulatedAnnealing,244160000.0,
SimulatedAnnealing,244534500.0,
SimulatedAnnealing,244610000.0,
SimulatedAnnealing,244609500.0,
SimulatedAnnealing,50859500.0,
SimulatedAnnealing,2362500.0,
SimulatedAnnealing,244172500.0,
SimulatedAnnealing,2425000.0,
SimulatedAnnealing,244220000.0,
SimulatedAnnealing,3925000.0,
SimulatedAnnealing,50782000.0,
SimulatedAnnealing,547500.0,
SimulatedAnnealing,244609500.0,
SimulatedAnnealing,2034500.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,146535171900.0,
SimulatedAnnealing,550000.0,
SimulatedAnnealing,2050000.0,
SimulatedAnnealing,244312500.0,
SimulatedAnnealing,244187500.0,
SimulatedAnnealing,2750000.0,
SimulatedAnnealing,409375.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,2422500.0,
SimulatedAnnealing,244610000.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,4312500.0,
SimulatedAnnealing,2750000.0,
SimulatedAnnealing,50859500.0,
SimulatedAnnealing,244547500.0,
SimulatedAnnealing,4297500.0,
SimulatedAnnealing,244625000.0,
SimulatedAnnealing,50862500.0,
SimulatedAnnealing,10187500.0,
SimulatedAnnealing,244160000.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,2750000.0,
SimulatedAnnealing,2362500.0,
SimulatedAnnealing,49234500.0,
SimulatedAnnealing,2750000.0,
SimulatedAnnealing,2112500.0,
SimulatedAnnealing,875000.0,
SimulatedAnnealing,244547500.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,50812500.0,
SimulatedAnnealing,244534400.0,
SimulatedAnnealing,244612500.0,
SimulatedAnnealing,860000.0,
